# xb		Total (meV)
0.1	4.039965e+01
0.2	4.045069e+01
0.3	4.044848e+01
0.4	4.032033e+01
0.5	3.987648e+01
0.6	3.849661e+01
0.7	3.444205e+01
0.8	2.945785e+01
0.9	2.765193e+01
1.0	2.711821e+01
1.1	2.694911e+01
1.2	2.691974e+01
1.3	2.695586e+01
1.4	2.702726e+01
1.5	2.711821e+01
1.6	2.722157e+01
1.7	2.733059e+01
1.8	2.744378e+01
1.9	2.755844e+01
2.0	2.767291e+01
2.1	2.778627e+01
2.2	2.789709e+01
2.3	2.800502e+01
2.4	2.810856e+01
2.5	2.820691e+01
2.6	2.829906e+01
2.7	2.838404e+01
2.8	2.845955e+01
2.9	2.852431e+01
3.0	2.857571e+01
