t,x,y,vx,vy
0.0009996891021728516,0.2673160173160174,0.658008658008658,10.825876564011573,-94.72641993510109
0.025210142135620117,0.27813852813852813,0.5497835497835498,0.4470181044344441,-4.470181044344478
0.04521751403808594,0.28354978354978355,0.43885281385281383,0.27046307919075113,-5.54449312341039
0.06452393531799316,0.28354978354978355,0.3793290043290043,0.0,-3.0831094308377986
0.0828104019165039,0.28354978354978355,0.3116883116883117,0.0,-3.6989481962688897
0.10192131996154785,0.28354978354978355,0.2819264069264069,0.0,-1.557324702651998
0.1227107048034668,0.28354978354978355,0.24945887445887446,0.0,-1.5617360837953282
0.14250946044921875,0.28354978354978355,0.23863636363636367,0.0,-0.5466258090231484
0.1605088710784912,0.2862554112554113,0.23051948051948054,0.15031757213358984,-0.45095271640076023
0.2892646789550781,0.2862554112554113,0.23322510822510825,0.0,0.021013636202112676
0.3098564147949219,0.2862554112554113,0.2440476190476191,0.0,0.5255754496213937
0.32976627349853516,0.2808441558441559,0.27380952380952384,-0.2717877355037872,1.4948325452708255
0.3507661819458008,0.27002164502164505,0.3225108225108225,-0.5153599050056826,2.3191195725255667
0.36918091773986816,0.261904761904762,0.36850649350649356,-0.44078194809061927,2.4977643725135232
0.38915395736694336,0.24296536796536805,0.4496753246753247,-0.9482479528914529,4.063919798106228
0.40778112411499023,0.22943722943722944,0.5010822510822511,-0.7262585185992971,2.759782370677315
0.4269063472747803,0.21049783549783552,0.5524891774891775,-0.9902835528326376,2.6879125005457296
0.446866512298584,0.20779220779220786,0.5660173160173161,-0.13555136956037336,0.6777568478018836
0.465836763381958,0.2050865800865801,0.5687229437229437,-0.14262477042273008,0.14262477042272423
0.8881702423095703,0.2050865800865801,0.5660173160173161,0.0,-0.006406377520668681
0.9061455726623535,0.21049783549783552,0.5606060606060607,0.30103788386940955,-0.30103788386940955
0.9263758659362793,0.21590909090909094,0.5551948051948052,0.2674827961208959,-0.2674827961208959
0.9473757743835449,0.22673160173160178,0.538961038961039,0.5153599050056826,-0.7730398575085239
0.9660112857818604,0.24025974025974028,0.5227272727272727,0.7259333129629802,-0.8711199755555799
0.9856231212615967,0.2591991341991342,0.5173160173160174,0.9657124627097144,-0.275917846488485
1.0045263767242432,0.29707792207792216,0.5173160173160174,2.0038235188450906,0.0
1.0236351490020752,0.33225108225108235,0.5335497835497836,1.8406813196452372,0.8495452244516435
