t,x,y,vx,vy
0.0025873184204101562,0.27002164502164505,0.6417748917748918,3.1371798124470294,-40.78333756181159
0.0251309871673584,0.27002164502164505,0.511904761904762,0.0,-5.760824971654644
0.04798698425292969,0.2673160173160174,0.39015151515151514,-0.11837714607234026,-5.326971573255413
0.06815862655639648,0.261904761904762,0.3035714285714286,-0.2682605278165882,-4.292168445065401
0.0872197151184082,0.2591991341991342,0.27380952380952384,-0.1419450781536169,-1.561395859689751
0.1076805591583252,0.2591991341991342,0.26028138528138534,0.0,-0.6611720661057041
0.13462257385253906,0.2591991341991342,0.262987012987013,0.0,0.10042410474257231
0.1542212963104248,0.2591991341991342,0.2765151515151515,0.0,0.6902561407871419
0.1744232177734375,0.2591991341991342,0.30627705627705626,0.0,1.4732214862034416
0.1929609775543213,0.2591991341991342,0.34145021645021645,0.0,1.8973792188973606
0.21169447898864746,0.2591991341991342,0.3874458874458875,0.0,2.455262896630272
0.23120570182800293,0.2537878787878788,0.47943722943722944,-0.2773406595685305,4.714791212665007
0.25073790550231934,0.2456709956709957,0.5687229437229437,-0.4155641243674035,4.571205368041461
0.2698841094970703,0.24025974025974028,0.6038961038961039,-0.28262810804371163,1.8370827022841227
0.28888368606567383,0.23755411255411263,0.6174242424242424,-0.14240463180104027,0.712023159005213
0.3090941905975342,0.23484848484848486,0.6201298701298702,-0.13387234847910634,0.13387234847910634
0.3578345775604248,0.23484848484848486,0.6174242424242424,0.0,-0.055511001742512736
0.5336208343505859,0.23484848484848486,0.6201298701298702,0.0,0.015391576992605956
0.5546226501464844,0.23484848484848486,0.6255411255411256,0.0,0.25765655045466196
0.5751328468322754,0.23755411255411263,0.6336580086580087,0.13191622426040225,0.3957486727811959
0.59513258934021,0.23755411255411263,0.6363636363636364,0.0,0.1352831269979722
0.6148886680603027,0.23755411255411263,0.6390692640692641,0.0,0.13695165644769516
0.6344926357269287,0.23755411255411263,0.6363636363636364,0.0,-0.13801429137397828
0.6540043354034424,0.24025974025974028,0.6228354978354979,0.13866694088595638,-0.6933347044297933
0.6730051040649414,0.2456709956709957,0.58495670995671,0.2847913948986795,-1.9935397642907506
0.691664457321167,0.25108225108225113,0.5606060606060607,0.29000230270306865,-1.305010362163806
0.7119014263153076,0.261904761904762,0.5470779220779222,0.5347891191435029,-0.6684863989293759
0.7315454483032227,0.2808441558441559,0.5470779220779222,0.9641301537457756,0.0
0.7512767314910889,0.3160173160173161,0.5822510822510822,1.7826088571264331,1.7826088571264274
0.7712719440460205,0.34577922077922085,0.6201298701298702,1.4884515320925789,1.894392859026922
0.7903656959533691,0.3890692640692641,0.6904761904761906,2.2672360833065075,3.684258635373078
0.8099191188812256,0.4053030303030304,0.7310606060606061,0.8302263135033566,2.075565783758383
0.8285291194915771,0.41612554112554123,0.7608225108225108,0.5815427440927095,1.599242546254948
0.8494253158569336,0.41612554112554123,0.7635281385281386,0.0,0.12947943531548137
0.8689305782318115,0.40800865800865804,0.7500000000000001,-0.4161381149805726,-0.6935635249676134
0.8899190425872803,0.39448051948051954,0.7283549783549784,-0.6445511352817773,-1.031281816450848
0.9098672866821289,0.3890692640692641,0.7175324675324676,-0.27126474819168706,-0.5425294963833741
0.9283077716827393,0.38636363636363646,0.7094155844155845,-0.14672215538463892,-0.44016646615392285
0.9480240345001221,0.3836580086580087,0.7067099567099567,-0.13722822274626784,-0.13722822274626784
0.9706203937530518,0.3836580086580087,0.7040043290043291,0.0,-0.1197373291574333
0.9896810054779053,0.38095238095238104,0.6931818181818182,-0.14194862917750606,-0.5677945167100359
1.0093977451324463,0.37283549783549785,0.6661255411255411,-0.4116747118996303,-1.372249039665425
1.0287432670593262,0.3484848484848485,0.5876623376623377,-1.2587227908705334,-4.055884548360608
1.048203945159912,0.3133116883116883,0.47943722943722944,-1.8073964325066951,-5.56121979232829
1.0675122737884521,0.29166666666666674,0.4063852813852814,-1.1210199526554372,-3.7834423402121113
1.0865116119384766,0.2754329004329005,0.3306277056277057,-0.854438512835533,-3.987379726565809
1.1081428527832031,0.2754329004329005,0.3116883116883117,0.0,-0.8755574437613102
1.1267554759979248,0.2754329004329005,0.30627705627705626,0.0,-0.2907304010202808
1.1625661849975586,0.2754329004329005,0.308982683982684,0.0,0.07555359224123251
1.1815688610076904,0.2754329004329005,0.31439393939393945,0.0,0.28476280963640344
1.2015655040740967,0.2754329004329005,0.3252164502164503,0.0,0.541216382498337
1.22037935256958,0.27813852813852813,0.3387445887445888,0.1438104333771578,0.7190521668858008
1.2405683994293213,0.2862554112554113,0.3658008658008658,0.4020438990148163,1.340146330049373
1.260024070739746,0.288961038961039,0.3847402597402597,0.1390662733995674,0.9734639137969889
1.2804348468780518,0.29707792207792216,0.400974025974026,0.39767635791418693,0.7953527158283684
1.2990574836730957,0.2997835497835498,0.40909090909090906,0.14528703617028638,0.43586110851086507
1.31868314743042,0.3079004329004329,0.4253246753246753,0.4135851514246946,0.8271703028493949
1.3390052318572998,0.3160173160173161,0.43885281385281383,0.3994119375937167,0.6656865626561872
1.3576345443725586,0.32683982683982693,0.4604978354978355,0.5809398931735352,1.1618797863470705
1.377680778503418,0.33495670995671,0.4686147186147186,0.40490812707748763,0.40490812707748763
1.4004557132720947,0.33495670995671,0.4632034632034633,0.0,-0.2375969664114085
1.4195270538330078,0.33495670995671,0.4496753246753247,0.0,-0.7093438704494992
1.4399943351745605,0.33225108225108235,0.4280303030303031,-0.13219282329083357,-1.0575425863266847
1.458709478378296,0.33225108225108235,0.4199134199134199,0.0,-0.4337067063031151
1.4779634475708008,0.33766233766233766,0.4199134199134199,0.2810462277752987,0.0
1.4979662895202637,0.3484848484848485,0.4334415584415585,0.5410486594781821,0.6763108243477305
1.5169756412506104,0.3701298701298702,0.46590909090909094,1.138651225568487,1.707976838352725
1.5356707572937012,0.3836580086580087,0.4821428571428572,0.7236188583669216,0.8683426300403095
1.556084156036377,0.3890692640692641,0.4902597402597403,0.26508351105407923,0.39762526658111613
1.5776114463806152,0.38636363636363646,0.48755411255411263,-0.1256836165798177,-0.1256836165798177
1.5962207317352295,0.3836580086580087,0.47943722943722944,-0.14539127398338775,-0.4361738219501573
1.6164817810058594,0.3836580086580087,0.47132034632034636,0.0,-0.40061514132188564
1.635956048965454,0.3917748917748918,0.4686147186147186,0.4168004226769403,-0.13893347422565058
1.6556456089019775,0.4188311688311689,0.4902597402597403,1.3741433096271833,1.0993146477017468
1.6751623153686523,0.4377705627705628,0.511904761904762,0.9704195721615911,1.1090509396132502
1.6941640377044678,0.45670995670995673,0.5308441558441559,0.9967198554257354,0.9967198554257354
1.7128932476043701,0.4594155844155845,0.5335497835497836,0.14446032267713943,0.1444603226771335
1.7311146259307861,0.44859307359307365,0.5146103896103896,-0.5939457832792574,-1.0394051207386974
1.7497990131378174,0.4377705627705628,0.4956709956709957,-0.5792274963365216,-1.01364811858891
1.7700297832489014,0.42965367965367973,0.4767316017316018,-0.40121473736859975,-0.9361677205267364
1.7891294956207275,0.4377705627705628,0.474025974025974,0.42497410216795856,-0.14165803405599006
1.8078458309173584,0.47564935064935077,0.48755411255411263,2.023835717754348,0.7227984706265559
1.8268721103668213,0.5081168831168832,0.511904761904762,1.7064572479223719,1.2798429359417802
1.8448901176452637,0.5324675324675325,0.5335497835497836,1.3514618444950703,1.201299417328948
1.864452600479126,0.5405844155844156,0.5416666666666667,0.4149209068100957,0.41492090681010135
1.8854029178619385,0.518939393939394,0.5281385281385281,-1.0331596056286483,-0.6457247535179111
1.9058403968811035,0.5000000000000001,0.511904761904762,-0.9266991257402001,-0.7943135363487398
1.9254601001739502,0.4864718614718615,0.48755411255411263,-0.6895179976075864,-1.2411323956936475
1.945004940032959,0.4864718614718615,0.47943722943722944,0.0,-0.4152954526839922
1.9641499519348145,0.5162337662337663,0.4821428571428572,1.5545513846883712,0.14132285315349147
1.9827466011047363,0.5487012987012988,0.49837662337662336,1.7458807858807894,0.8729403929403887
2.0029351711273193,0.6028138528138529,0.5335497835497836,2.68035596637224,1.7422313781419567
2.0219414234161377,0.621753246753247,0.5579004329004329,0.9964822970668626,1.2811915248002452
2.040369749069214,0.6190476190476191,0.5930735930735931,-0.1468189653559892,1.9086465496277392
2.058223009109497,0.5865800865800866,0.6038961038961039,-1.8185772455156262,0.6061924151718774
2.0782322883605957,0.5000000000000001,0.5957792207792209,-4.326996764530274,-0.4056559466747115
2.0977261066436768,0.4242424242424243,0.5687229437229437,-3.8862358650037696,-1.3879413803584912
2.116852045059204,0.33225108225108235,0.5146103896103896,-4.809768806777033,-2.829275768692373
2.1363160610198975,0.3160173160173161,0.4767316017316018,-0.8340399158400597,-1.9460931369601335
2.1562089920043945,0.39448051948051954,0.446969696969697,3.9442756587428613,-1.4961045602128098
2.1761107444763184,0.5027056277056278,0.45238095238095244,5.437968760680024,0.27189843803400177
2.1951122283935547,0.6866883116883118,0.49837662337662336,9.68254294159587,2.420635735398963
2.2137091159820557,0.7705627705627707,0.5308441558441559,4.510134207958595,1.74585840308075
2.2322680950164795,0.821969696969697,0.5606060606060607,2.769922112179502,1.6036391175776086
2.2519795894622803,0.8111471861471862,0.5660173160173161,-0.5490456774989178,0.2745228387494589
2.272857189178467,0.7462121212121213,0.5579004329004329,-3.110274448107189,-0.38878430601340264
2.2917609214782715,0.6677489177489178,0.5281385281385281,-4.1506725877626955,-1.5743930505306756
2.311587333679199,0.6352813852813854,0.5064935064935066,-1.637589904743989,-1.0917266031626613
2.330207586288452,0.621753246753247,0.4902597402597403,-0.7265281955098711,-0.8718338346118489
2.3491036891937256,0.6325757575757576,0.4902597402597403,0.5727377161716412,0.0
2.3696162700653076,0.6650432900432901,0.520021645021645,1.5828106989946253,1.450909807411737
2.3919715881347656,0.6920995670995671,0.5714285714285715,1.2102836994854247,2.299539029022314
2.4108617305755615,0.694805194805195,0.5957792207792209,0.14322960846418484,1.2890664761775814
2.433417558670044,0.6866883116883118,0.6066017316017317,-0.35985746490365966,0.4798099532048763
